dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp
EV_Vehicles_4000;Baseline;400;0.3125;1.0;1;125;0;0
EV_Vehicles_4000;Baseline;800;0.26;0.9952153110047847;1;208;0;1
EV_Vehicles_4000;Baseline;1200;0.3416666666666667;0.9131403118040089;1;410;0;39
EV_Vehicles_4000;Baseline;1600;0.300625;0.8589285714285714;1;481;0;79
EV_Vehicles_4000;Baseline;2000;0.261;0.9867674858223062;1;522;0;7
EV_Vehicles_4000;Baseline;4000;0.26925;0.9260533104041273;1;1077;0;86
EV_Vehicles_4000;Baseline;8000;0.31275;0.8089233753637245;1;2459;43;591
EV_Vehicles_4000;Baseline;12000;0.19616666666666666;0.6549805230940456;1;2322;32;1240
EV_Vehicles_4000;Baseline;16000;0.0014375;0.0172543135783946;1;23;0;1310
EV_Vehicles_4000;Baseline;20000;0.00095;0.010692177827799663;1;19;0;1758
EV_Vehicles_4000;Pipeline;400;0.1275;1.0;1;51;0;0
EV_Vehicles_4000;Pipeline;800;0.09125;1.0;1;73;0;0
EV_Vehicles_4000;Pipeline;1200;0.09166666666666666;1.0;1;110;0;0
EV_Vehicles_4000;Pipeline;1600;0.095625;1.0;1;153;0;0
EV_Vehicles_4000;Pipeline;2000;0.0965;1.0;1;193;0;0
EV_Vehicles_4000;Pipeline;4000;0.09975;1.0;1;399;0;0
EV_Vehicles_4000;Pipeline;8000;0.167125;0.9896373056994818;1;1337;0;14
EV_Vehicles_4000;Pipeline;12000;0.21658333333333332;0.8634551495016611;1;2599;0;411
EV_Vehicles_4000;Pipeline;16000;0.208125;0.6324786324786325;1;3220;110;1935
EV_Vehicles_4000;Pipeline;20000;0.1729;0.5916167664670658;1;3147;311;2387
EV_Vehicles_4000;Pipeline_noRev;400;0.175;0.9859154929577465;1;70;0;1
EV_Vehicles_4000;Pipeline_noRev;800;0.12875;0.9716981132075472;1;103;0;3
EV_Vehicles_4000;Pipeline_noRev;1200;0.14916666666666667;0.9572192513368984;1;177;2;8
EV_Vehicles_4000;Pipeline_noRev;1600;0.15875;0.9136690647482014;1;251;3;24
EV_Vehicles_4000;Pipeline_noRev;2000;0.157;0.9874213836477987;1;313;1;4
EV_Vehicles_4000;Pipeline_noRev;4000;0.177;0.945260347129506;1;704;4;41
EV_Vehicles_4000;Pipeline_noRev;8000;0.220125;0.8752485089463221;1;1739;22;251
EV_Vehicles_4000;Pipeline_noRev;12000;0.2155;0.6315018315018315;1;2551;35;1509
EV_Vehicles_4000;Pipeline_noRev;16000;0.1965;0.5002386634844869;1;3030;114;3141
