568;Actor;Brian Doyle-Murray
6906;Year;1982
10787;Film;Wesley
9984;ActorID;nm0947447
7021;Actor;Beth Grant
6162;Film;Creation Stories
10681;Rating;6.4
3156;Rating;6.2
3115;Year;2013
1649;Film;City Heat
2180;Year;2016
390;Votes;115463
9983;Year;2006
1668;Votes;1451
3578;Votes;67781
538;Actor;Peter Fonda
6746;Votes;95225
937;ActorID;nm0860380
8155;Film;The Parson and the Outlaw
826;ActorID;nm0606593
11108;Rating;5.7
2772;Year;2018
5901;Film;Ghost in the Shell
5202;ActorID;nm0005063
393;ActorID;nm0005009
7360;ActorID;nm0128657
10608;Actor;Chad Allen
350;Votes;154075
2992;Film;Bottom of the 9th
9353;Year;2011
11655;Film;The Hangover Part II
9130;Year;2009
8234;FilmID;tt1051905
2211;FilmID;tt0074437
8526;ActorID;nm1310368
1492;Votes;48986
1281;FilmID;tt0118887
8461;FilmID;tt0046872
7345;Votes;124
6422;Votes;102
745;Actor;Ruta Lee
10420;Votes;205
2827;Actor;William Hopper
11018;Actor;Teri Garr
3665;Actor;Vic Mignogna
687;ActorID;nm0001278
1182;Film;Khal Nayak
9310;Rating;6.4
7400;Actor;John Malkovich
3223;FilmID;tt0256276
177;ActorID;nm1269983
10334;Votes;121181
3725;ActorID;nm0004910
6226;Rating;7.0
4334;Actor;Charles Laughton
6350;ActorID;nm5093499
7841;Rating;6.2
7988;Film;It's a Wonderful Afterlife
10001;Film;Murder of a Cat
2427;Votes;102
3322;ActorID;nm0000837
1570;ActorID;nm0001766
7022;Year;1987
2328;Rating;5.1
11377;Film;Grand Tour: Disaster in Time
2077;Year;1938
4817;ActorID;nm0000300
1013;ActorID;nm0002131
4361;Actor;Theresa Russell
5836;Year;2019
7349;FilmID;tt1686821
8131;Rating;3.2
10225;Year;1943
7000;Film;Resurrected
1409;Votes;8315
2131;Votes;2153
5298;Year;2010
8816;Votes;423
10224;Rating;6.5
11209;Actor;Josh Lucas
6749;ActorID;nm0336335
11056;Rating;5.8
8461;Rating;5.4
11506;Film;The Silence of the Lambs
9798;Rating;5.5
714;Actor;Jennifer Lawrence
291;ActorID;nm1526554
8610;FilmID;tt0118993
7655;Rating;5.5
3661;ActorID;nm0000215
9572;Actor;Michael Gough
2167;Actor;Laz Alonso
1159;Film;Namastey London
8245;ActorID;nm2045884
8828;Votes;147
537;FilmID;tt11229780
634;Rating;4.9
5547;Rating;7.1
1485;FilmID;tt0119698
7991;Film;Blue Car
2158;Votes;744
3670;Actor;Al Lettieri
2223;FilmID;tt0159097
5577;ActorID;nm2306701
3051;Year;2008
8581;Rating;5.0
4237;Votes;1007
5997;Year;2002
2900;FilmID;tt0102587
7853;Film;Gaby
9629;ActorID;nm0416279
7207;Film;Citizen Ruth
10100;Year;2004
1058;Actor;Adrian Pasdar
853;ActorID;nm0000028
7287;Actor;Peter Graves
