Second Class;CH-12070;Cathy Hwang;Home Office;Detroit;Michigan;Central;?;Phones;Panasonic KX T7736-B Digital phone;?
Standard Class;BS-11380;Bill Stewart;Corporate;San Francisco;California;West;OFF-ST-10000736;Storage;Carina Double Wide Media Storage Towers in Natural & Black;242.94
Second Class;DV-13465;Dianna Vittorini;Consumer;Oceanside;New York;East;TEC-AC-10002018;?;?;13.98
Standard Class;TP-21415;?;?;Freeport;New York;?;FUR-FU-10004017;Furnishings;Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet Computer 39 x 49;322.59
First Class;TS-21505;Tony Sayre;?;?;New Hampshire;East;FUR-FU-10004188;Furnishings;Luxo Professional Combination Clamp-On Lamps;?
First Class;?;Vivian Mathis;?;Boca Raton;?;South;?;Accessories;Verbatim Slim CD and DVD Storage Cases 50/Pack;18.46
Standard Class;?;Lisa DeCherney;?;San Francisco;California;West;?;?;GBC VeloBinder Manual Binding System;?
?;?;Sung Shariari;Consumer;Dallas;Texas;?;OFF-PA-10004971;Paper;?;?
Standard Class;CA-12775;?;?;Philadelphia;Pennsylvania;?;OFF-BI-10004230;?;GBC Recycled Grain Textured Covers;31.09
Second Class;JC-15775;John Castell;?;Philadelphia;?;East;FUR-TA-10001771;?;Bush Cubix Conference Tables Fully Assembled;138.59
?;SJ-20215;Sarah Jordon;?;Chicago;?;Central;OFF-AR-10001683;Art;Lumber Crayons;15.76
First Class;TB-21625;?;Consumer;?;California;?;?;?;?;17.94
?;TS-21370;Todd Sumrall;Corporate;Los Angeles;?;?;OFF-ST-10003442;Storage;Eldon Portable Mobile Manager;141.4
Same Day;HG-14845;Harry Greene;?;?;Texas;Central;?;Paper;?;?
?;Dp-13240;Dean percer;Home Office;Charlotte;North Carolina;South;FUR-TA-10001039;Tables;KI Adjustable-Height Table;154.76
Standard Class;CB-12535;Claudia Bergmann;Corporate;Camarillo;California;?;FUR-BO-10004015;Bookcases;Bush Andora Bookcase Maple/Graphite Gray Finish;509.96
Standard Class;BD-11320;Bill Donatelli;Consumer;Woodland;?;West;TEC-PH-10001299;Phones;Polycom CX300 Desktop Phone USB VoIP phone;?
First Class;?;?;?;?;Ohio;?;?;Paper;Xerox 196;13.87
Standard Class;MT-18070;?;Home Office;Tulsa;Oklahoma;?;?;Binders;Avery Hanging File Binders;41.86
Second Class;?;Katharine Harms;Corporate;New York City;New York;East;FUR-FU-10000820;?;?;50.97
?;MG-17650;Matthew Grinstein;Home Office;Marion;?;?;FUR-FU-10002885;Furnishings;?;7.71
