Second Class;CH-12070;Cathy Hwang;Home Office;Detroit;Michigan;?;?;Phones;Panasonic KX T7736-B Digital phone;299.9
Standard Class;BS-11380;Bill Stewart;Corporate;?;California;West;OFF-ST-10000736;Storage;Carina Double Wide Media Storage Towers in Natural & Black;?
Second Class;?;?;?;?;New York;East;TEC-AC-10002018;Accessories;AmazonBasics 3-Button USB Wired Mouse;13.98
?;TP-21415;?;Consumer;Freeport;New York;East;FUR-FU-10004017;?;Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet Computer 39 x 49;322.59
First Class;TS-21505;Tony Sayre;Consumer;Concord;New Hampshire;?;FUR-FU-10004188;Furnishings;?;102.3
?;?;Vivian Mathis;Consumer;Boca Raton;Florida;South;TEC-AC-10000521;Accessories;Verbatim Slim CD and DVD Storage Cases 50/Pack;18.46
?;LD-17005;Lisa DeCherney;Consumer;?;California;West;OFF-BI-10001543;?;GBC VeloBinder Manual Binding System;57.58
?;SS-20875;Sung Shariari;?;Dallas;?;Central;?;Paper;Xerox 196;?
Standard Class;?;Cynthia Arntzen;Consumer;Philadelphia;Pennsylvania;East;OFF-BI-10004230;Binders;?;?
?;?;John Castell;Consumer;Philadelphia;Pennsylvania;?;FUR-TA-10001771;Tables;Bush Cubix Conference Tables Fully Assembled;138.59
Standard Class;SJ-20215;Sarah Jordon;?;Chicago;Illinois;?;?;Art;Lumber Crayons;?
First Class;TB-21625;?;Consumer;Los Angeles;California;West;?;Paper;Xerox 1920;?
?;?;?;Corporate;?;California;West;?;Storage;Eldon Portable Mobile Manager;?
Same Day;HG-14845;Harry Greene;Consumer;Houston;?;Central;OFF-PA-10000474;Paper;Easy-staple paper;56.7
?;Dp-13240;?;?;?;North Carolina;South;FUR-TA-10001039;Tables;KI Adjustable-Height Table;154.76
Standard Class;?;Claudia Bergmann;?;Camarillo;California;?;FUR-BO-10004015;Bookcases;Bush Andora Bookcase Maple/Graphite Gray Finish;509.96
Standard Class;?;?;Consumer;?;California;West;TEC-PH-10001299;?;Polycom CX300 Desktop Phone USB VoIP phone;?
First Class;AB-10165;Alan Barnes;?;?;?;East;?;?;Xerox 196;?
Standard Class;MT-18070;Michelle Tran;Home Office;?;?;Central;OFF-BI-10003305;Binders;Avery Hanging File Binders;41.86
?;KH-16330;Katharine Harms;Corporate;New York City;New York;?;FUR-FU-10000820;Furnishings;Tensor Brushed Steel Torchiere Floor Lamp;?
?;MG-17650;Matthew Grinstein;Home Office;Marion;?;East;FUR-FU-10002885;?;Magna Visual Magnetic Picture Hangers;7.71
Same Day;RW-19540;?;?;Seattle;Washington;?;?;?;Honeywell Quietcare HEPA Air Cleaner;314.6
First Class;?;Jim Epp;Corporate;Lakeland;?;South;OFF-AR-10000380;?;Hunt PowerHouse Electric Pencil Sharpener Blue;60.77
First Class;?;Adrian Shami;Home Office;New York City;New York;East;OFF-BI-10000404;Binders;?;41.28
Standard Class;FA-14230;Frank Atkinson;Corporate;?;Florida;South;OFF-ST-10003327;?;?;39.72
?;KB-16585;Ken Black;Corporate;Hialeah;?;South;FUR-CH-10000988;Chairs;Hon Olson Stacker Stools;1013.83
Standard Class;?;Fred McMath;Consumer;Lawrence;?;East;OFF-LA-10001474;?;Avery 477;122.12
First Class;?;Kean Thornton;Consumer;Philadelphia;Pennsylvania;East;TEC-CO-10001449;?;Hewlett Packard LaserJet 3310 Copier;1799.97
?;EA-14035;Erin Ashbrook;?;Carrollton;Texas;Central;?;Paper;Xerox 206;10.37
Second Class;?;?;Corporate;Orange;New Jersey;?;?;?;Avery Durable Binders;5.76
First Class;?;?;Consumer;Louisville;Colorado;?;TEC-AC-10004114;Accessories;KeyTronic 6101 Series - Keyboard - Black;196.75
Standard Class;?;?;Corporate;Overland Park;Kansas;?;OFF-PA-10003673;Paper;Strathmore Photo Mount Cards;13.56
Second Class;PF-19165;Philip Fox;?;Sandy Springs;?;South;OFF-AR-10004344;Art;?;35.97
Standard Class;PK-19075;?;?;?;New York;East;OFF-BI-10003476;Binders;Avery Metallic Poly Binders;?
Standard Class;?;Saphhira Shifley;?;Los Angeles;?;West;?;?;?;?
?;?;Jennifer Patt;Corporate;Dallas;Texas;?;?;Tables;?;127.78
?;ND-18460;Neil Ducich;Corporate;?;Georgia;South;OFF-PA-10000019;Paper;?;?
?;GT-14755;Guy Thornton;Consumer;?;?;West;?;Paper;Xerox 200;12.96
Second Class;MG-18205;Mitch Gastineau;Corporate;?;Florida;?;OFF-BI-10003712;Binders;Acco Pressboard Covers with Storage Hooks 14 7/8 x 11 Light Blue;?
First Class;CR-12625;Corey Roper;Home Office;Columbus;Georgia;South;FUR-CH-10001146;Chairs;?;?
Standard Class;?;Chuck Clark;Home Office;?;New Hampshire;East;TEC-AC-10003628;Accessories;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;29.99
Standard Class;SP-20920;Susan Pistek;?;San Luis Obispo;California;West;OFF-FA-10003059;Fasteners;Assorted Color Push Pins;3.62
Same Day;?;Gary Zandusky;Consumer;Columbia;?;East;OFF-AP-10002945;Appliances;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;901.95
First Class;ES-14080;Erin Smith;Corporate;Tempe;Arizona;?;TEC-PH-10001760;Phones;?;318.4
Standard Class;?;?;Corporate;San Diego;?;West;TEC-AC-10002345;Accessories;HP Standard 104 key PS/2 Keyboard;116.0
?;?;Justin MacKendrick;?;Lake Forest;California;West;OFF-AP-10000828;Appliances;?;?
Second Class;?;Giulietta Dortch;Corporate;?;Pennsylvania;East;?;Phones;Cisco 8x8 Inc. 6753i IP Business Phone System;?
Same Day;?;Chris Cortes;Consumer;?;Connecticut;East;?;Envelopes;Convenience Packs of Business Envelopes;10.86
Second Class;NP-18685;?;Home Office;Indianapolis;Indiana;Central;?;Copiers;Hewlett Packard 610 Color Digital Copier / Printer;?
First Class;TS-21370;Todd Sumrall;Corporate;Wilmington;Delaware;?;?;Binders;Tuf-Vin Binders;221.06
Same Day;?;?;Consumer;Seattle;Washington;West;?;Paper;Xerox 225;19.44
?;SE-20110;Sanjit Engle;?;?;California;West;OFF-ST-10000675;Storage;File Shuttle II and Handi-File Black;169.45
First Class;?;Phillip Flathmann;Consumer;Edmonds;Washington;?;TEC-PH-10002033;Phones;Konftel 250 Conference phone - Charcoal black;455.71
Standard Class;MG-17890;Michael Granlund;Home Office;?;California;West;?;Bookcases;?;120.67
Standard Class;CY-12745;Craig Yedwab;Corporate;Gilbert;Arizona;West;?;?;Electrix Halogen Magnifier Lamp;621.76
Second Class;?;?;?;Seattle;Washington;West;FUR-BO-10002213;Bookcases;Sauder Forest Hills Library Woodland Oak Finish;704.9
Standard Class;?;Katherine Murray;Home Office;Salem;Virginia;?;OFF-EN-10002230;Envelopes;?;251.79
?;?;Tracy Zic;Consumer;Los Angeles;California;West;OFF-FA-10000992;Fasteners;Acco Clips to Go Binder Clips 24 Clips in Two Sizes;10.65
Standard Class;SJ-20125;?;Home Office;Dallas;Texas;Central;OFF-BI-10001757;Binders;Pressboard Hanging Data Binders for Unburst Sheets;8.86
Standard Class;JA-15970;Joseph Airdo;Consumer;Springfield;Oregon;West;?;?;Plantronics Single Ear Headset;29.92
Standard Class;TS-21160;Theresa Swint;?;Columbus;Georgia;South;TEC-PH-10001557;?;Pyle PMP37LED;?
Standard Class;AG-10900;?;Consumer;?;Arizona;West;TEC-AC-10003911;?;NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router;?
First Class;?;Tim Brockman;?;Austin;?;?;?;?;?;47.98
?;BS-11755;Bruce Stewart;Consumer;Philadelphia;?;East;OFF-AP-10000026;Appliances;Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;195.1
Second Class;NL-18310;Nancy Lomonaco;Home Office;?;California;West;OFF-AR-10003469;Art;?;?
