Second Class;CH-12070;?;Home Office;Detroit;Michigan;Central;TEC-PH-10001809;Phones;Panasonic KX T7736-B Digital phone;299.9
Standard Class;BS-11380;Bill Stewart;Corporate;San Francisco;California;West;OFF-ST-10000736;Storage;?;242.94
Second Class;DV-13465;Dianna Vittorini;Consumer;Oceanside;New York;East;TEC-AC-10002018;Accessories;AmazonBasics 3-Button USB Wired Mouse;13.98
Standard Class;TP-21415;Tom Prescott;Consumer;Freeport;New York;East;FUR-FU-10004017;Furnishings;Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet Computer 39 x 49;322.59
?;TS-21505;Tony Sayre;Consumer;Concord;New Hampshire;East;FUR-FU-10004188;Furnishings;Luxo Professional Combination Clamp-On Lamps;102.3
First Class;VM-21835;Vivian Mathis;Consumer;Boca Raton;Florida;South;TEC-AC-10000521;Accessories;Verbatim Slim CD and DVD Storage Cases 50/Pack;18.46
Standard Class;LD-17005;Lisa DeCherney;Consumer;San Francisco;California;West;OFF-BI-10001543;Binders;GBC VeloBinder Manual Binding System;57.58
Standard Class;SS-20875;Sung Shariari;Consumer;Dallas;Texas;Central;OFF-PA-10004971;Paper;Xerox 196;4.62
Standard Class;?;Cynthia Arntzen;Consumer;Philadelphia;Pennsylvania;East;OFF-BI-10004230;Binders;GBC Recycled Grain Textured Covers;31.09
Second Class;JC-15775;John Castell;Consumer;Philadelphia;Pennsylvania;East;FUR-TA-10001771;Tables;Bush Cubix Conference Tables Fully Assembled;?
Standard Class;SJ-20215;Sarah Jordon;Consumer;Chicago;Illinois;Central;OFF-AR-10001683;Art;Lumber Crayons;15.76
First Class;TB-21625;Trudy Brown;Consumer;Los Angeles;California;West;OFF-PA-10002751;Paper;Xerox 1920;17.94
First Class;TS-21370;Todd Sumrall;Corporate;Los Angeles;California;West;OFF-ST-10003442;Storage;Eldon Portable Mobile Manager;141.4
Same Day;HG-14845;?;Consumer;Houston;Texas;Central;OFF-PA-10000474;Paper;Easy-staple paper;?
Standard Class;Dp-13240;Dean percer;Home Office;Charlotte;?;South;FUR-TA-10001039;Tables;KI Adjustable-Height Table;154.76
Standard Class;CB-12535;Claudia Bergmann;Corporate;Camarillo;California;West;FUR-BO-10004015;Bookcases;Bush Andora Bookcase Maple/Graphite Gray Finish;509.96
Standard Class;BD-11320;Bill Donatelli;Consumer;Woodland;?;West;TEC-PH-10001299;Phones;Polycom CX300 Desktop Phone USB VoIP phone;239.98
First Class;?;Alan Barnes;?;Toledo;Ohio;East;OFF-PA-10004971;Paper;Xerox 196;13.87
Standard Class;MT-18070;Michelle Tran;Home Office;Tulsa;Oklahoma;Central;OFF-BI-10003305;Binders;Avery Hanging File Binders;41.86
Second Class;KH-16330;Katharine Harms;Corporate;New York City;New York;East;FUR-FU-10000820;Furnishings;Tensor Brushed Steel Torchiere Floor Lamp;50.97
First Class;MG-17650;?;Home Office;Marion;Ohio;East;FUR-FU-10002885;Furnishings;Magna Visual Magnetic Picture Hangers;7.71
Same Day;RW-19540;Rick Wilson;Corporate;Seattle;Washington;West;OFF-AP-10001005;Appliances;Honeywell Quietcare HEPA Air Cleaner;314.6
First Class;JE-15610;Jim Epp;Corporate;Lakeland;Florida;South;OFF-AR-10000380;Art;Hunt PowerHouse Electric Pencil Sharpener Blue;60.77
First Class;AS-10135;Adrian Shami;Home Office;New York City;New York;East;OFF-BI-10000404;Binders;Avery Printable Repositionable Plastic Tabs;41.28
Standard Class;FA-14230;Frank Atkinson;Corporate;Orlando;Florida;South;OFF-ST-10003327;Storage;Akro-Mils 12-Gallon Tote;39.72
Second Class;KB-16585;Ken Black;Corporate;Hialeah;Florida;South;FUR-CH-10000988;Chairs;Hon Olson Stacker Stools;1013.83
Standard Class;FM-14380;?;Consumer;Lawrence;Massachusetts;?;?;Labels;Avery 477;?
First Class;KT-16480;Kean Thornton;Consumer;Philadelphia;?;East;TEC-CO-10001449;Copiers;Hewlett Packard LaserJet 3310 Copier;1799.97
Standard Class;EA-14035;Erin Ashbrook;Corporate;Carrollton;Texas;?;OFF-PA-10000809;Paper;Xerox 206;10.37
Second Class;DM-13345;Denise Monton;Corporate;Orange;New Jersey;East;OFF-BI-10000546;Binders;Avery Durable Binders;5.76
First Class;JE-15745;?;Consumer;Louisville;Colorado;West;TEC-AC-10004114;Accessories;KeyTronic 6101 Series - Keyboard - Black;196.75
