Second Class;CH-12070;Cathy Hwang;Home Office;Detroit;Michigan;Central;TEC-PH-10001809;Phones;Panasonic KX T7736-B Digital phone;?
Standard Class;BS-11380;Bill Stewart;Corporate;?;?;West;?;Storage;Carina Double Wide Media Storage Towers in Natural & Black;242.94
Second Class;DV-13465;Dianna Vittorini;Consumer;Oceanside;New York;East;TEC-AC-10002018;Accessories;AmazonBasics 3-Button USB Wired Mouse;13.98
Standard Class;TP-21415;Tom Prescott;Consumer;Freeport;New York;East;FUR-FU-10004017;Furnishings;Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet Computer 39 x 49;322.59
First Class;TS-21505;Tony Sayre;Consumer;Concord;New Hampshire;East;FUR-FU-10004188;Furnishings;Luxo Professional Combination Clamp-On Lamps;102.3
First Class;VM-21835;Vivian Mathis;Consumer;Boca Raton;Florida;South;TEC-AC-10000521;Accessories;Verbatim Slim CD and DVD Storage Cases 50/Pack;?
Standard Class;LD-17005;Lisa DeCherney;?;San Francisco;?;West;OFF-BI-10001543;Binders;GBC VeloBinder Manual Binding System;57.58
Standard Class;SS-20875;?;Consumer;Dallas;Texas;Central;OFF-PA-10004971;Paper;Xerox 196;4.62
?;?;?;Consumer;Philadelphia;Pennsylvania;?;OFF-BI-10004230;Binders;GBC Recycled Grain Textured Covers;31.09
Second Class;JC-15775;John Castell;Consumer;Philadelphia;Pennsylvania;East;?;Tables;?;138.59
Standard Class;SJ-20215;Sarah Jordon;Consumer;Chicago;Illinois;Central;?;Art;?;?
First Class;TB-21625;?;Consumer;Los Angeles;?;West;?;Paper;Xerox 1920;17.94
First Class;?;Todd Sumrall;?;?;?;West;OFF-ST-10003442;?;Eldon Portable Mobile Manager;141.4
Same Day;HG-14845;Harry Greene;Consumer;Houston;Texas;?;OFF-PA-10000474;Paper;Easy-staple paper;56.7
Standard Class;Dp-13240;Dean percer;Home Office;Charlotte;North Carolina;?;FUR-TA-10001039;?;KI Adjustable-Height Table;154.76
Standard Class;?;?;Corporate;Camarillo;?;?;FUR-BO-10004015;Bookcases;?;509.96
Standard Class;?;Bill Donatelli;Consumer;Woodland;California;?;TEC-PH-10001299;?;Polycom CX300 Desktop Phone USB VoIP phone;?
First Class;AB-10165;Alan Barnes;Consumer;Toledo;Ohio;East;OFF-PA-10004971;Paper;Xerox 196;13.87
Standard Class;MT-18070;Michelle Tran;Home Office;Tulsa;?;Central;?;Binders;?;?
Second Class;KH-16330;?;Corporate;?;New York;East;FUR-FU-10000820;?;Tensor Brushed Steel Torchiere Floor Lamp;?
?;MG-17650;Matthew Grinstein;Home Office;Marion;?;?;FUR-FU-10002885;Furnishings;Magna Visual Magnetic Picture Hangers;7.71
Same Day;RW-19540;Rick Wilson;?;?;Washington;?;OFF-AP-10001005;Appliances;Honeywell Quietcare HEPA Air Cleaner;314.6
First Class;JE-15610;Jim Epp;Corporate;Lakeland;Florida;?;OFF-AR-10000380;Art;Hunt PowerHouse Electric Pencil Sharpener Blue;60.77
First Class;AS-10135;Adrian Shami;Home Office;?;New York;East;OFF-BI-10000404;Binders;?;41.28
Standard Class;FA-14230;Frank Atkinson;?;Orlando;Florida;South;OFF-ST-10003327;Storage;Akro-Mils 12-Gallon Tote;39.72
Second Class;KB-16585;Ken Black;Corporate;Hialeah;Florida;South;FUR-CH-10000988;Chairs;Hon Olson Stacker Stools;1013.83
Standard Class;FM-14380;Fred McMath;?;Lawrence;?;East;OFF-LA-10001474;?;Avery 477;?
First Class;KT-16480;?;Consumer;Philadelphia;Pennsylvania;?;TEC-CO-10001449;Copiers;Hewlett Packard LaserJet 3310 Copier;1799.97
Standard Class;?;Erin Ashbrook;Corporate;Carrollton;?;Central;OFF-PA-10000809;Paper;?;?
Second Class;DM-13345;Denise Monton;Corporate;Orange;?;East;OFF-BI-10000546;Binders;?;5.76
First Class;?;?;Consumer;Louisville;Colorado;West;?;Accessories;KeyTronic 6101 Series - Keyboard - Black;196.75
Standard Class;?;?;?;Overland Park;Kansas;Central;OFF-PA-10003673;?;Strathmore Photo Mount Cards;13.56
