?;CH-12070;Cathy Hwang;Home Office;Detroit;Michigan;?;TEC-PH-10001809;Phones;Panasonic KX T7736-B Digital phone;299.9
Standard Class;BS-11380;Bill Stewart;Corporate;San Francisco;California;West;?;Storage;?;242.94
Second Class;DV-13465;Dianna Vittorini;Consumer;Oceanside;New York;East;TEC-AC-10002018;Accessories;AmazonBasics 3-Button USB Wired Mouse;13.98
Standard Class;TP-21415;?;?;?;?;East;FUR-FU-10004017;?;Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet Computer 39 x 49;322.59
First Class;TS-21505;Tony Sayre;Consumer;Concord;New Hampshire;East;FUR-FU-10004188;Furnishings;Luxo Professional Combination Clamp-On Lamps;102.3
First Class;VM-21835;Vivian Mathis;Consumer;Boca Raton;Florida;South;TEC-AC-10000521;Accessories;Verbatim Slim CD and DVD Storage Cases 50/Pack;18.46
Standard Class;LD-17005;Lisa DeCherney;Consumer;San Francisco;California;West;?;Binders;GBC VeloBinder Manual Binding System;57.58
Standard Class;SS-20875;Sung Shariari;Consumer;Dallas;Texas;Central;OFF-PA-10004971;?;Xerox 196;4.62
Standard Class;?;Cynthia Arntzen;Consumer;Philadelphia;?;East;?;Binders;GBC Recycled Grain Textured Covers;31.09
Second Class;?;John Castell;Consumer;Philadelphia;Pennsylvania;East;FUR-TA-10001771;Tables;Bush Cubix Conference Tables Fully Assembled;?
Standard Class;SJ-20215;Sarah Jordon;Consumer;Chicago;Illinois;Central;OFF-AR-10001683;Art;?;15.76
First Class;?;Trudy Brown;Consumer;Los Angeles;?;West;OFF-PA-10002751;?;Xerox 1920;17.94
First Class;TS-21370;?;Corporate;Los Angeles;California;?;OFF-ST-10003442;Storage;Eldon Portable Mobile Manager;141.4
?;HG-14845;Harry Greene;Consumer;?;Texas;Central;OFF-PA-10000474;Paper;Easy-staple paper;56.7
Standard Class;?;Dean percer;Home Office;Charlotte;North Carolina;South;FUR-TA-10001039;Tables;KI Adjustable-Height Table;?
?;?;Claudia Bergmann;Corporate;Camarillo;California;West;FUR-BO-10004015;Bookcases;Bush Andora Bookcase Maple/Graphite Gray Finish;509.96
Standard Class;BD-11320;Bill Donatelli;?;Woodland;California;West;?;?;Polycom CX300 Desktop Phone USB VoIP phone;239.98
?;AB-10165;Alan Barnes;Consumer;Toledo;Ohio;East;OFF-PA-10004971;Paper;Xerox 196;13.87
Standard Class;?;Michelle Tran;Home Office;Tulsa;?;Central;OFF-BI-10003305;Binders;Avery Hanging File Binders;41.86
?;KH-16330;Katharine Harms;?;?;New York;East;FUR-FU-10000820;?;Tensor Brushed Steel Torchiere Floor Lamp;50.97
First Class;?;Matthew Grinstein;Home Office;Marion;Ohio;East;FUR-FU-10002885;Furnishings;Magna Visual Magnetic Picture Hangers;?
Same Day;RW-19540;Rick Wilson;Corporate;Seattle;Washington;West;OFF-AP-10001005;Appliances;?;314.6
First Class;?;Jim Epp;Corporate;Lakeland;?;South;OFF-AR-10000380;Art;Hunt PowerHouse Electric Pencil Sharpener Blue;60.77
First Class;AS-10135;Adrian Shami;Home Office;?;New York;East;OFF-BI-10000404;Binders;Avery Printable Repositionable Plastic Tabs;41.28
?;FA-14230;Frank Atkinson;Corporate;?;Florida;South;OFF-ST-10003327;Storage;?;?
Second Class;KB-16585;Ken Black;Corporate;Hialeah;Florida;South;FUR-CH-10000988;Chairs;Hon Olson Stacker Stools;1013.83
Standard Class;FM-14380;?;?;?;Massachusetts;East;OFF-LA-10001474;Labels;Avery 477;122.12
