dataset;algoritmo;MV;metric2
Boeing_898_MNAR;pipeline;90;0.67
Boeing_898_MNAR;baseline;90;0.99
Boeing_898_MNAR;pipeline;180;0.7
Boeing_898_MNAR;baseline;180;1.0
Boeing_898_MNAR;pipeline;269;0.73
Boeing_898_MNAR;baseline;269;1.0
Boeing_898_MNAR;pipeline;359;0.72
Boeing_898_MNAR;baseline;359;1.0
Boeing_898_MNAR;pipeline;449;0.73
Boeing_898_MNAR;baseline;449;1.0
Boeing_898_MNAR;pipeline;898;0.7
Boeing_898_MNAR;baseline;898;1.0
Boeing_898_MNAR;pipeline;1796;0.67
Boeing_898_MNAR;baseline;1796;0.9
Boeing_898_MNAR;pipeline;2694;0.66
Boeing_898_MNAR;baseline;2694;0.64
Boeing_898_MNAR;pipeline;3592;0.42
Boeing_898_MNAR;baseline;3592;0.57
Boeing_898_MNAR;pipeline;4490;0.26
Boeing_898_MNAR;baseline;4490;0.54
cars_MNAR;pipeline;37;0.79
cars_MNAR;baseline;37;0.82
cars_MNAR;pipeline;73;0.76
cars_MNAR;baseline;73;0.86
cars_MNAR;pipeline;110;0.78
cars_MNAR;baseline;110;0.84
cars_MNAR;pipeline;146;0.78
cars_MNAR;baseline;146;0.82
cars_MNAR;pipeline;183;0.78
cars_MNAR;baseline;183;0.82
cars_MNAR;pipeline;365;0.82
cars_MNAR;baseline;365;0.75
cars_MNAR;pipeline;731;0.72
cars_MNAR;baseline;731;0.69
cars_MNAR;pipeline;1096;0.65
cars_MNAR;baseline;1096;0.56
cars_MNAR;pipeline;1462;0.58
cars_MNAR;baseline;1462;0.53
cars_MNAR;pipeline;1827;0.56
cars_MNAR;baseline;1827;0.5
police_MNAR;pipeline;198;0.11
police_MNAR;baseline;198;0.15
police_MNAR;pipeline;397;0.16
police_MNAR;baseline;397;0.31
police_MNAR;pipeline;595;0.1
police_MNAR;baseline;595;0.5
police_MNAR;pipeline;793;0.19
police_MNAR;baseline;793;0.61
police_MNAR;pipeline;992;0.15
police_MNAR;baseline;992;0.62
police_MNAR;pipeline;1984;0.4
police_MNAR;baseline;1984;0.87
police_MNAR;pipeline;3967;0.4
police_MNAR;baseline;3967;0.92
police_MNAR;pipeline;5951;0.46
police_MNAR;baseline;5951;0.83
police_MNAR;pipeline;7934;0.57
police_MNAR;baseline;7934;0.74
police_MNAR;pipeline;9918;0.61
police_MNAR;baseline;9918;0.65
restaurant_MNAR;pipeline;52;0.17
restaurant_MNAR;baseline;52;0.33
restaurant_MNAR;pipeline;104;0.17
restaurant_MNAR;baseline;104;0.45
restaurant_MNAR;pipeline;156;0.17
restaurant_MNAR;baseline;156;0.72
restaurant_MNAR;pipeline;207;0.23
restaurant_MNAR;baseline;207;0.72
restaurant_MNAR;pipeline;259;0.3
restaurant_MNAR;baseline;259;0.75
restaurant_MNAR;pipeline;518;0.3
restaurant_MNAR;baseline;518;0.85
restaurant_MNAR;pipeline;1037;0.4
restaurant_MNAR;baseline;1037;0.93
restaurant_MNAR;pipeline;1555;0.5
restaurant_MNAR;baseline;1555;0.83
restaurant_MNAR;pipeline;2074;0.4
restaurant_MNAR;baseline;2074;0.73
restaurant_MNAR;pipeline;2592;0.52
restaurant_MNAR;baseline;2592;0.68
